"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Ronnie Rivers","LAR","22.5","91.0","0.5","2.3","15.5","0.2","0.0","17.2"
"Tahj Brooks","CIN","21.8","90.7","0.6","2.4","16.5","0.1","0.1","17.1"
"Isaac Guerendo","SF","24.1","105.8","0.7","1.0","9.7","0.0","0.0","16.8"
"Michael Burton","CLE","6.6","13.8","0.6","5.1","33.3","0.6","0.0","16.5"
"Kaleb Johnson","GB","20.0","81.2","0.5","1.7","11.2","0.1","0.0","14.5"
"Brittain Brown","CHI","24.5","99.0","0.7","0.0","0.0","0.0","0.0","13.9"
"Andrew Beck","NYJ","0.3","2.7","0.0","4.3","29.6","0.8","0.0","12.3"
"Adam Prentice","DEN","6.7","27.3","0.2","4.2","28.4","0.2","0.0","11.6"
"Bam Knight","ARI","10.1","34.6","0.4","2.5","18.5","0.1","0.0","10.5"
"Connor Heyward","LV","4.2","17.4","0.1","4.0","29.0","0.2","0.0","10.2"
"Kene Nwangwu","NYJ","12.0","50.9","0.4","1.2","9.3","0.1","0.0","9.9"
"Max Bredeson","MIN","2.0","8.5","0.1","4.5","29.5","0.2","0.0","9.6"
"Tyler Badie","DEN","2.3","9.4","0.1","4.3","27.3","0.2","0.0","9.5"
"Julius Chestnut","TEN","2.5","9.9","0.0","4.1","25.0","0.2","0.0","8.7"
"Jack Westover","WAS","0.0","0.0","0.0","4.5","30.9","0.2","0.0","8.6"
"Riley Nowakowski","PIT","0.0","0.0","0.0","4.3","29.2","0.2","0.0","8.1"
"Reggie Gilliam","NE","7.1","28.6","0.2","2.1","14.9","0.1","0.0","7.8"
"Sione Vaki","DET","10.4","42.1","0.3","0.7","5.2","0.0","0.0","7.2"
"Kendall Milton","CIN","13.3","53.4","0.3","0.0","0.0","0.0","0.0","7.2"
"Jeremy McNichols","WAS","5.0","20.9","0.2","2.0","13.4","0.0","0.0","6.6"
"Travis Homer","PIT","9.8","40.7","0.3","0.0","0.0","0.0","0.0","5.8"
"British Brooks","HOU","9.3","38.1","0.2","0.0","0.0","0.0","0.0","5.1"
"Jerome Ford","WAS","2.5","10.5","0.1","1.0","6.0","0.0","0.0","3.3"
"DeeJay Dallas","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
